Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes
242,Óscar Mingueza,es ESP,"MF,DF",Celta Vigo,25,"€ 22,115 (£ 18,667, $22,797)","€ 1,150,000 (£ 970,688, $1,185,455)",Unverified estimation
243,Javier Manquillo,es ESP,DF,Celta Vigo,30,"€ 21,923 (£ 18,505, $22,599)","€ 1,140,000 (£ 962,247, $1,175,146)",Unverified estimation
244,Yangel Herrera,ve VEN,MF,Girona,26,"€ 21,154 (£ 17,855, $21,806)","€ 1,100,000 (£ 928,484, $1,133,913)",Unverified estimation
245,Adrià Pedrosa,es ESP,DF,Sevilla,26,"€ 21,154 (£ 17,855, $21,806)","€ 1,100,000 (£ 928,484, $1,133,913)",Unverified estimation
246,Carl Starfelt,se SWE,DF,Celta Vigo,29,"€ 21,154 (£ 17,855, $21,806)","€ 1,100,000 (£ 928,484, $1,133,913)",Unverified estimation
247,Iván Sánchez,es ESP,"MF,FW",Valladolid,31,"€ 20,769 (£ 17,531, $21,410)","€ 1,080,000 (£ 911,602, $1,113,297)",
248,Domingos Duarte,pt POR,DF,Getafe,29,"€ 20,769 (£ 17,531, $21,410)","€ 1,080,000 (£ 911,602, $1,113,297)",Unverified estimation
249,Mihailo Ristić,rs SRB,"DF,MF",Celta Vigo,28,"€ 20,192 (£ 17,044, $20,815)","€ 1,050,000 (£ 886,280, $1,082,372)",Unverified estimation
250,Tadeo Allende,ar ARG,FW,Celta Vigo,25,"€ 20,192 (£ 17,044, $20,815)","€ 1,050,000 (£ 886,280, $1,082,372)",Unverified estimation
251,Eray Cömert,ch SUI,"DF,MF",Valladolid,26,"€ 20,000 (£ 16,882, $20,617)","€ 1,040,000 (£ 877,839, $1,072,063)",Unverified estimation
252,Raúl Moro,es ESP,"MF,FW",Valladolid,21,"€ 20,000 (£ 16,882, $20,617)","€ 1,040,000 (£ 877,839, $1,072,063)",
253,Willy Kambwala,,CB,Villarreal,20,"€ 20,000 (£ 16,882, $20,617)","€ 1,040,000 (£ 877,839, $1,072,063)",Unverified estimation
254,Johan Mojica,co COL,DF,Mallorca,31,"€ 20,000 (£ 16,882, $20,617)","€ 1,040,000 (£ 877,839, $1,072,063)",Unverified estimation
255,Beñat Prados,es ESP,MF,Athletic Club,23,"€ 20,000 (£ 16,882, $20,617)","€ 1,040,000 (£ 877,839, $1,072,063)",Unverified estimation
256,Alex Sola,es ESP,"MF,FW",Getafe,25,"€ 20,000 (£ 16,882, $20,617)","€ 1,040,000 (£ 877,839, $1,072,063)",Unverified estimation
257,Óscar Rodríguez Arnaiz,es ESP,"MF,FW",Leganés,26,"€ 20,000 (£ 16,882, $20,617)","€ 1,040,000 (£ 877,839, $1,072,063)",Unverified estimation
258,Yaser Asprilla,co COL,"FW,MF",Girona,20,"€ 20,000 (£ 16,882, $20,617)","€ 1,040,000 (£ 877,839, $1,072,063)",Unverified estimation
259,Lucien Agoume,fr FRA,MF,Sevilla,22,"€ 20,000 (£ 16,882, $20,617)","€ 1,040,000 (£ 877,839, $1,072,063)",Unverified estimation
260,Enzo Barrenechea,,DM,Valencia,23,"€ 20,000 (£ 16,882, $20,617)","€ 1,040,000 (£ 877,839, $1,072,063)",Unverified estimation
261,Luis Rioja,es ESP,"MF,FW",Valencia,30,"€ 20,000 (£ 16,882, $20,617)","€ 1,040,000 (£ 877,839, $1,072,063)",Unverified estimation
262,Jon Pacheco,es ESP,DF,Real Sociedad,23,"€ 20,000 (£ 16,882, $20,617)","€ 1,040,000 (£ 877,839, $1,072,063)",Unverified estimation
263,Orri Óskarsson,,CF,Real Sociedad,20,"€ 20,000 (£ 16,882, $20,617)","€ 1,040,000 (£ 877,839, $1,072,063)",Unverified estimation
264,Iván Villar,es ESP,GK,Celta Vigo,27,"€ 20,000 (£ 16,882, $20,617)","€ 1,040,000 (£ 877,839, $1,072,063)",Unverified estimation
265,Catena,es ESP,DF,Osasuna,29,"€ 19,231 (£ 16,232, $19,824)","€ 1,000,000 (£ 844,076, $1,030,830)",Unverified estimation
266,Jon Moncayola,es ESP,MF,Osasuna,26,"€ 19,231 (£ 16,232, $19,824)","€ 1,000,000 (£ 844,076, $1,030,830)",Unverified estimation
267,Kiko Femenía,es ESP,DF,Villarreal,33,"€ 19,231 (£ 16,232, $19,824)","€ 1,000,000 (£ 844,076, $1,030,830)",Unverified estimation
268,Iñigo Lekue,es ESP,DF,Athletic Club,31,"€ 19,231 (£ 16,232, $19,824)","€ 1,000,000 (£ 844,076, $1,030,830)",Unverified estimation
269,Manu Sánchez,es ESP,DF,Alavés,23,"€ 19,231 (£ 16,232, $19,824)","€ 1,000,000 (£ 844,076, $1,030,830)",Unverified estimation
270,Fernando Pacheco,es ESP,GK,Espanyol,32,"€ 19,231 (£ 16,232, $19,824)","€ 1,000,000 (£ 844,076, $1,030,830)",Unverified estimation
271,Pablo Maffeo,es ESP,DF,Mallorca,27,"€ 18,846 (£ 15,908, $19,427)","€ 980,000 (£ 827,195, $1,010,213)",Unverified estimation
272,Adri Embarba,es ESP,"FW,MF",Rayo Vallecano,32,"€ 18,462 (£ 15,583, $19,031)","€ 960,000 (£ 810,313, $989,597)",Unverified estimation
273,Aimar Oroz,,AM,Osasuna,22,"€ 18,269 (£ 15,421, $18,832)","€ 950,000 (£ 801,873, $979,289)",Unverified estimation
274,Sergio Herrera,es ESP,GK,Osasuna,31,"€ 18,269 (£ 15,421, $18,832)","€ 950,000 (£ 801,873, $979,289)",Unverified estimation
275,Raúl Albiol,es ESP,DF,Villarreal,38,"€ 18,077 (£ 15,258, $18,634)","€ 940,000 (£ 793,432, $968,980)",Unverified estimation
276,Álvaro Aguado,es ESP,MF,Espanyol,28,"€ 18,077 (£ 15,258, $18,634)","€ 940,000 (£ 793,432, $968,980)",Unverified estimation
277,Hugo Álvarez,,LW,Celta Vigo,21,"€ 18,077 (£ 15,258, $18,634)","€ 940,000 (£ 793,432, $968,980)",Unverified estimation
278,Jailson,,DM,Celta Vigo,29,"€ 17,885 (£ 15,096, $18,436)","€ 930,000 (£ 784,991, $958,672)",Unverified estimation
279,Thierno Barry,,CF,Villarreal,21,"€ 17,692 (£ 14,934, $18,238)","€ 920,000 (£ 776,550, $948,364)",Unverified estimation
