Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes
156,Jan-Niklas Beste,de GER,"FW,MF",Freiburg,25,"€ 36,154 (£ 30,485, $40,467)","€ 1,880,000 (£ 1,585,201, $2,104,297)",Unverified estimation
157,Jacob Bruun Larsen,dk DEN,"FW,MF",Hoffenheim,25,"€ 34,615 (£ 29,218, $35,683)","€ 1,800,000 (£ 1,519,337, $1,855,494)",Unverified estimation
158,Aleksandar Pavlovic,,DM,Bayern Munich,20,"€ 34,615 (£ 29,218, $35,683)","€ 1,800,000 (£ 1,519,337, $1,855,494)",Unverified estimation
159,Ridle Baku,de GER,"FW,MF",Wolfsburg,26,"€ 34,615 (£ 29,218, $35,683)","€ 1,800,000 (£ 1,519,337, $1,855,494)",Unverified estimation
160,Jamie Leweling,de GER,"MF,FW",Stuttgart,23,"€ 34,615 (£ 29,218, $35,683)","€ 1,800,000 (£ 1,519,337, $1,855,494)",Unverified estimation
161,Jordan Pefok,us USA,FW,Union Berlin,28,"€ 34,615 (£ 29,218, $35,683)","€ 1,800,000 (£ 1,519,337, $1,855,494)",Unverified estimation
162,Dominik Kohr,de GER,"DF,MF",Mainz 05,30,"€ 34,615 (£ 29,218, $35,683)","€ 1,800,000 (£ 1,519,337, $1,855,494)",Unverified estimation
163,Robin Zentner,de GER,GK,Mainz 05,29,"€ 34,615 (£ 29,218, $35,683)","€ 1,800,000 (£ 1,519,337, $1,855,494)",Unverified estimation
164,Stefan Bell,de GER,DF,Mainz 05,32,"€ 34,615 (£ 29,218, $35,683)","€ 1,800,000 (£ 1,519,337, $1,855,494)",
165,El Chadaille Bitshiabu,fr FRA,DF,RB Leipzig,19,"€ 34,615 (£ 29,218, $35,683)","€ 1,800,000 (£ 1,519,337, $1,855,494)",Unverified estimation
166,Nathan Tella,ng NGA,"MF,FW",Leverkusen,25,"€ 34,615 (£ 29,218, $35,683)","€ 1,800,000 (£ 1,519,337, $1,855,494)",Unverified estimation
