Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes
428,Rémy Descamps,fr FRA,GK,Lyon,28,"€ 5,192 (£ 4,383, $5,352)","€ 270,000 (£ 227,901, $278,324)",Unverified estimation
429,Fredrik Oppegard,no NOR,DF,Auxerre,21,"€ 5,000 (£ 4,216, $5,597)","€ 260,000 (£ 219,230, $291,020)",Unverified estimation
430,Emmanuel Sabbi,,RW,Le Havre,27,"€ 5,000 (£ 4,220, $5,154)","€ 260,000 (£ 219,460, $268,016)",Unverified estimation
431,Álex Domínguez,es ESP,GK,Toulouse,26,"€ 4,808 (£ 4,058, $4,956)","€ 250,000 (£ 211,019, $257,708)",Unverified estimation
432,Issa Soumaré,sn SEN,"FW,MF",Le Havre,23,"€ 4,808 (£ 4,058, $4,956)","€ 250,000 (£ 211,019, $257,708)",Unverified estimation
433,Yanis Zouaoui,,LB,Le Havre,26,"€ 4,808 (£ 4,058, $4,956)","€ 250,000 (£ 211,019, $257,708)",Unverified estimation
434,Vito Mannone,it ITA,GK,Lille,36,"€ 4,808 (£ 4,058, $4,956)","€ 250,000 (£ 211,019, $257,708)",Unverified estimation
435,Boubacar Fall,sn SEN,GK,Saint-Étienne,24,"€ 4,808 (£ 4,058, $4,956)","€ 250,000 (£ 211,019, $257,708)",Unverified estimation
436,Gabriel Bares,ch SUI,"MF,DF",Montpellier,23,"€ 4,615 (£ 3,896, $4,758)","€ 240,000 (£ 202,578, $247,399)",Unverified estimation
437,Shavy Babicka,,RW,Toulouse,24,"€ 4,615 (£ 3,896, $4,758)","€ 240,000 (£ 202,578, $247,399)",Unverified estimation
438,Warren Kamanzi,,RB,Toulouse,24,"€ 4,615 (£ 3,896, $4,758)","€ 240,000 (£ 202,578, $247,399)",Unverified estimation
439,Eros Maddy,,RW,Auxerre,24,"€ 4,615 (£ 3,896, $4,758)","€ 240,000 (£ 202,578, $247,399)",Unverified estimation
